Category	Date	PdDistrict	X	Y	Location
VEHICLE THEFT	11/27/17	BAYVIEW	-122.3945464	37.71898832	"(37.718988317227385, -122.39454642999935)"
VEHICLE THEFT	10/28/17	TENDERLOIN	-122.4160992	37.78493003	"(37.784930026286936, -122.41609919395316)"
VEHICLE THEFT	4/23/17	BAYVIEW	-122.395301	37.75920155	"(37.759201545227306, -122.3953009638292)"
VEHICLE THEFT	4/25/17	INGLESIDE	-122.4087015	37.72163378	"(37.721633783671095, -122.40870148520553)"
VEHICLE THEFT	10/30/17	TARAVAL	-122.4840029	37.73894623	"(37.73894623289889, -122.48400287573409)"
VEHICLE THEFT	3/13/17	SOUTHERN	-122.3950625	37.78599306	"(37.78599306471813, -122.39506246900176)"
VEHICLE THEFT	9/22/17	MISSION	-122.427385	37.75049224	"(37.750492236440394, -122.42738501763738)"
VEHICLE THEFT	4/24/17	INGLESIDE	-122.4293025	37.73521383	"(37.73521382898849, -122.42930252201616)"
VEHICLE THEFT	10/27/17	CENTRAL	-122.4055248	37.7977715	"(37.79777149973384, -122.4055247967998)"
VEHICLE THEFT	10/28/17	NORTHERN	-122.4304365	37.77210697	"(37.77210696616694, -122.43043652347433)"
VEHICLE THEFT	4/30/17	MISSION	-122.4299728	37.7644836	"(37.7644836044577, -122.42997284010137)"
VEHICLE THEFT	4/29/17	PARK	-122.4425656	37.77342402	"(37.773424019841954, -122.44256561671256)"
VEHICLE THEFT	10/27/17	SOUTHERN	-122.4147143	37.77623104	"(37.7762310404758, -122.41471429557896)"
VEHICLE THEFT	10/27/17	INGLESIDE	-122.4176406	37.74588218	"(37.745882184784165, -122.41764061804834)"
VEHICLE THEFT	6/21/17	INGLESIDE	-122.4458563	37.72162829	"(37.72162829459445, -122.44585628111419)"
VEHICLE THEFT	10/30/17	BAYVIEW	-122.4013308	37.70860422	"(37.70860421708965, -122.40133080950423)"
VEHICLE THEFT	10/31/17	BAYVIEW	-122.4037759	37.7282405	"(37.72824050265313, -122.4037758646853)"
VEHICLE THEFT	10/23/17	TARAVAL	-122.4721151	37.76201079	"(37.762010790477255, -122.47211512808326)"
VEHICLE THEFT	9/28/17	BAYVIEW	-122.3875559	37.75219239	"(37.75219238709267, -122.38755587094042)"
VEHICLE THEFT	3/23/17	INGLESIDE	-122.4271942	37.72110608	"(37.72110607642501, -122.42719420631197)"
VEHICLE THEFT	11/1/17	TARAVAL	-122.4681345	37.73614856	"(37.73614856284163, -122.46813446461412)"
VEHICLE THEFT	5/6/17	INGLESIDE	-122.4296026	37.71790388	"(37.71790388405135, -122.42960262359398)"
VEHICLE THEFT	6/24/17	INGLESIDE	-122.4040427	37.71614902	"(37.71614902183453, -122.4040426916853)"
VEHICLE THEFT	7/28/17	TARAVAL	-122.4743288	37.75525328	"(37.755253278895836, -122.47432883478164)"
VEHICLE THEFT	12/14/17	PARK	-122.4330127	37.76915926	"(37.7691592647351, -122.43301268519)"
VEHICLE THEFT	5/6/17	NORTHERN	-122.4328059	37.77516001	"(37.775160009153524, -122.43280587840096)"
VEHICLE THEFT	5/25/17	MISSION	-122.4377436	37.76077935	"(37.76077934810003, -122.43774363166236)"
VEHICLE THEFT	11/3/17	RICHMOND	-122.4781675	37.77750514	"(37.77750514289202, -122.47816753468953)"
VEHICLE THEFT	5/7/17	NORTHERN	-122.4279912	37.78495312	"(37.78495312416125, -122.4279911519107)"
VEHICLE THEFT	5/7/17	INGLESIDE	-122.4506366	37.74249191	"(37.74249191339568, -122.45063662516394)"
VEHICLE THEFT	10/8/17	RICHMOND	-122.4729848	37.78255236	"(37.78255236457424, -122.47298483572291)"
VEHICLE THEFT	11/18/17	MISSION	-122.4215984	37.75204775	"(37.75204774787342, -122.42159840817814)"
VEHICLE THEFT	5/8/17	TARAVAL	-122.4862692	37.73319995	"(37.73319994791919, -122.48626920862952)"
VEHICLE THEFT	5/8/17	TARAVAL	-122.4877392	37.74530824	"(37.74530823899207, -122.48773917269659)"
VEHICLE THEFT	11/5/17	BAYVIEW	-122.3830131	37.74599367	"(37.745993671136496, -122.38301308647137)"
VEHICLE THEFT	5/8/17	MISSION	-122.4353734	37.75287894	"(37.75287894366178, -122.43537342141961)"
VEHICLE THEFT	11/5/17	MISSION	-122.4263845	37.76464394	"(37.76464393726198, -122.42638445080627)"
VEHICLE THEFT	8/1/17	MISSION	-122.4153084	37.76531614	"(37.76531613563503, -122.41530838881565)"
VEHICLE THEFT	11/5/17	BAYVIEW	-122.4025028	37.74078228	"(37.74078228297246, -122.40250279027859)"
VEHICLE THEFT	5/4/17	MISSION	-122.4305429	37.76155911	"(37.76155911177007, -122.43054288553337)"
VEHICLE THEFT	5/10/17	TARAVAL	-122.4673078	37.72259746	"(37.722597463719985, -122.46730776508971)"
VEHICLE THEFT	11/5/17	MISSION	-122.4095908	37.75759393	"(37.75759392605005, -122.40959081827909)"
VEHICLE THEFT	5/10/17	TARAVAL	-122.471489	37.74510895	"(37.74510894982904, -122.47148897933604)"
VEHICLE THEFT	5/9/17	MISSION	-122.4328715	37.76182102	"(37.76182102384363, -122.43287154529455)"
VEHICLE THEFT	5/4/17	SOUTHERN	-122.4006174	37.78158762	"(37.7815876234701, -122.40061739890338)"
VEHICLE THEFT	6/23/17	RICHMOND	-122.4626807	37.78096867	"(37.78096866914746, -122.46268068416872)"
VEHICLE THEFT	8/3/17	TARAVAL	-122.5046187	37.74176182	"(37.74176181862784, -122.50461871859424)"
VEHICLE THEFT	11/7/17	MISSION	-122.4100102	37.75981459	"(37.75981458661524, -122.4100101866222)"
VEHICLE THEFT	11/6/17	NORTHERN	-122.4196414	37.78543273	"(37.78543273139285, -122.41964142042853)"
VEHICLE THEFT	11/7/17	BAYVIEW	-122.3869859	37.72892041	"(37.72892041234659, -122.38698586421778)"
VEHICLE THEFT	6/30/17	BAYVIEW	-122.4010969	37.72455567	"(37.72455566977171, -122.40109685156835)"
VEHICLE THEFT	6/12/17	RICHMOND	-122.5100336	37.77230656	"(37.7723065559956, -122.51003355759975)"
VEHICLE THEFT	5/2/17	TARAVAL	-122.4749614	37.72569017	"(37.72569016890165, -122.47496143417591)"
VEHICLE THEFT	8/6/17	NORTHERN	-122.421963	37.79689897	"(37.796898966685035, -122.4219629579307)"
VEHICLE THEFT	5/14/17	BAYVIEW	-122.373376	37.72976921	"(37.72976921176783, -122.37337604923961)"
VEHICLE THEFT	7/4/17	CENTRAL	-122.4131628	37.7870801	"(37.78708010052918, -122.41316280209602)"
VEHICLE THEFT	8/9/17	INGLESIDE	-122.4378041	37.71494034	"(37.71494034302023, -122.43780411066268)"
VEHICLE THEFT	12/20/17	SOUTHERN	-122.3994365	37.77357471	"(37.77357471219194, -122.39943646679765)"
VEHICLE THEFT	5/13/17	MISSION	-122.4154528	37.76610617	"(37.76610616625396, -122.4154527788212)"
VEHICLE THEFT	10/18/17	MISSION	-122.4263845	37.76464394	"(37.76464393726198, -122.42638445080627)"
VEHICLE THEFT	5/17/17	INGLESIDE	-122.4122316	37.72981472	"(37.72981471825301, -122.41223158667623)"
VEHICLE THEFT	5/15/17	MISSION	-122.4127525	37.75253067	"(37.75253066690043, -122.41275246697299)"
VEHICLE THEFT	7/9/17	SOUTHERN	-122.3887902	37.78840539	"(37.78840538644197, -122.38879020046433)"
VEHICLE THEFT	1/17/17	PARK	-122.4464345	37.76100723	"(37.76100723064663, -122.44643449851837)"
VEHICLE THEFT	5/18/17	TARAVAL	-122.4779397	37.75883112	"(37.75883112146867, -122.47793973257676)"
VEHICLE THEFT	5/19/17	BAYVIEW	-122.4003141	37.7449817	"(37.744981696368164, -122.40031409336187)"
VEHICLE THEFT	5/21/17	SOUTHERN	-122.418619	37.77305255	"(37.773052554765336, -122.4186189533387)"
VEHICLE THEFT	5/22/17	MISSION	-122.4089691	37.75038122	"(37.75038122476247, -122.40896907797602)"
VEHICLE THEFT	5/10/17	BAYVIEW	-122.3933191	37.71120843	"(37.71120842713201, -122.393319107405)"
VEHICLE THEFT	5/25/17	MISSION	-122.4210852	37.75728953	"(37.75728952939109, -122.42108515905767)"
